0019_0020_0021_0022_fight_incident | 须藤打架事件 | ai_guided_choice | 2024-06-24 | foreshadow=True | rules=True | D班学生正在寻找目击者证明须藤的清白。栉田桔梗、平田洋介等人积极行动，但堀北铃音认为须藤自身行为有问题。
0206_keisei_evening_meeting | 与轻井泽惠的晚间密会 | ai_guided_choice | 2025-06-17 | foreshadow=True | rules=False | 绫小路向轻井泽解释了自己可能单独参加考试的原因，并承诺保障她的安全。两人的关系在考试压力下更加紧密。
0206_koenji_conversation | 与高圆寺六助的走廊对话 | fixed_story | 2025-06-16 | foreshadow=True | rules=False | 高圆寺六助对无人岛考试的态度不明，似乎仍计划中途退出，但表示会考虑如何度过考试。
0206_matsushita_approach | 松下千秋的试探与提议 | ai_guided_choice | 2025-06-17 | foreshadow=True | rules=False | 松下千秋的提议表明D班内部已有学生开始主动寻求与绫小路组队，以增加生存机会。
0206_meeting_nanase | 与七濑翼的早晨对话 | fixed_story | 2025-06-10 | foreshadow=True | rules=False | 七濑翼的对话确认了针对绫小路的退学计划仍在进行，并暗示一年级内部也有竞争。
0206_sakayanagi_ichinose_alliance | 坂柳与一之濑的秘密同盟 | silent_fixed | 2025-06-20 | foreshadow=True | rules=False | 二年A班与二年C班秘密结盟，旨在无人岛考试中共同对抗B班和D班，并巩固A班的领先地位。这一同盟将对考试格局产生重大影响。
0206_trial_card_received | 获得‘试炼’卡 | silent_fixed | 2025-06-17 | foreshadow=True | rules=True | 绫小路持有‘试炼’卡的消息可能再次引起关注，这张卡成为他组队和交易中的一个重要筹码和风险。
0206_uninhabited_island_exam_announcement | 无人岛特别考试说明 | fixed_story | 2025-06-16 | foreshadow=True | rules=True | 无人岛特别考试的详细规则被公布，包括小组组成、卡片交易、报酬与惩罚机制。学生们开始为考试做准备和组队。
0230_tianze_yixia_soliloquy | 天泽一夏的独白 | fixed_story | 2025-08-06 | foreshadow=False | rules=False | 天泽一夏在无人岛森林中向绫小路清隆表明自己是White Room出身，并表达崇拜之意。
0231_secret_activities | 暗中活跃：天泽一夏现身与七濑的追击 | ai_guided_choice | 2025-08-06 | foreshadow=False | rules=False | 天泽一夏表明White Room身份，七濑保持高度戒备。绫小路清隆需要在天泽的言语和七濑的警告之间做出判断。
0232_silent_moves | 一直默默地行动：第八天的战斗与情报收集 | fixed_story | 2025-08-08 | foreshadow=False | rules=False | 绫小路清隆在无人岛考试第八天独自行动，通过GPS截图分析南云雅的三年级战略，并与堀北铃音相遇交换情报。
0233_fight_against_loneliness | 与孤独的战斗：第九天与伊吹的冲突 | ai_guided_choice | 2025-08-09 | foreshadow=False | rules=False | 伊吹澪因脱水而状态不佳，但拒绝帮助。绫小路清隆可以选择强行交易或放任不管。
0234_encirclement_koenji_vs_free_group | 包围网：高圆寺VS自由组 | fixed_story | 2025-08-11 | foreshadow=False | rules=False | 三年级桐山组率领六个自由组共18人包围高圆寺六助，试图阻止他继续得分。高圆寺以超短睡眠者体质和惊人速度与力量突破包围。
0235_each_thoughts | 各自的想法：一年级袭击计划的失败 | ai_guided_choice | 2025-08-13 | foreshadow=True | rules=False | 一年级袭击计划因坂柳的干预和龙园的阻挠而失败。宝泉和臣与龙园翔发生激烈冲突，最终两人均因重伤退出考试。
0244_暑假开幕 | 愉快暑假的开幕 | fixed_story | 2025-08-03 | foreshadow=False | rules=False | 豪华游轮暑假期间，学生们可以享受游泳池、健身房、电影院、音乐厅、瞭望大浴场、购物区、露天咖啡厅等设施，但所有娱乐都需要花费个人点数。
0245_八月班级点数公布 | 八月班级点数公布 | silent_fixed | 2025-08-04 | foreshadow=False | rules=False | 八月班级点数公布：坂柳A班1206点，一之濑B班578点，堀北C班571点，龙园D班551点。高圆寺单独拿下第一名获得300点班级点数，但代价是获得'免于协助'
0245_无人岛考试结果公开 | 无人岛考试详细结果公开 | fixed_story | 2025-08-04 | foreshadow=False | rules=False | 无人岛考试详细结果公开中，学生可以查看所有小组的排名与得分。
0245_池告白与探望小宫 | 池向筱原告白并探望小宫 | ai_guided_choice | 2025-08-04 | foreshadow=False | rules=False | 池和绫小路前往医务室探望小宫。小宫得知池和筱原交往后表示祝福，但要求池'敢让皋月哭泣的话，我可饶不了你'。小宫私下请求绫小路留意龙园调查他受伤事件的事。
0245_石崎邀约看结果 | 石崎邀请绫小路查看考试结果 | ai_guided_choice | 2025-08-04 | foreshadow=False | rules=False | 石崎邀请绫小路一起去看无人岛考试结果，两人在途中遇到七濑。绫小路注意到有三年级生在监视自己。
0246_一之濑班女生慰劳会 | 一之濑班女生慰劳会邀请 | ai_guided_choice | 2025-08-05 | foreshadow=False | rules=False | 绫小路参加一之濑班女生慰劳会，发现只有十名女生在场。白波表示感谢但说'还没有认同你'。姬野由贵以头痛为由提前离开。
0246_姬野船尾对话 | 绫小路与姬野在船尾甲板交谈 | ai_guided_choice | 2025-08-05 | foreshadow=False | rules=False | 绫小路与姬野在船尾甲板交谈。姬野表示一之濑班的人'烂好人过头'，聚会太长没人想回去。绫小路鼓励她大叫发泄压力，姬野大声吶喊后感觉舒畅。
0246_桐山约见游泳池 | 桐山副会长约见绫小路 | ai_guided_choice | 2025-08-05 | foreshadow=False | rules=False | 桐山副会长向绫小路说明三年级生的情况：南云掌握所有个人点数，三年级生被禁止私下存钱，只能服从南云。桐山已放弃对抗南云，接受在A班毕业的门票。他要求绫小路不要妨碍
0247_坂柳与天泽接触 | 坂柳与天泽一夏首次接触 | fixed_story | 2025-08-06 | foreshadow=False | rules=False | 坂柳直接点破天泽是White Room学生。天泽承认并警告坂柳'就算面对身体残疾之人也会不客气地痛扁一顿'。坂柳表示'野蛮的行为马上就会泄漏出去'，并说Whit
0247_坂柳与绫小路甲板对话 | 坂柳与绫小路在船尾甲板交谈 | fixed_story | 2025-08-06 | foreshadow=False | rules=False | 坂柳告诉绫小路：一之濑曾来找她道歉无人岛考试最终日的自作主张，坂柳没有责怪她。坂柳警告绫小路一之濑对他的感情可能被利用，并提到三年级生正在监视他。坂柳还透露她利
0248_一之濑告白回应与南云介入 | 绫小路回应一之濑告白，南云介入 | ai_guided_choice | 2025-08-07 | foreshadow=False | rules=False | 南云突然出现，揭露绫小路与轻井泽惠正在交往。绫小路承认此事。一之濑大受打击但强颜欢笑，说'你可以忘了那件事吗'后哭着跑开。南云警告绫小路'这甚至还没有开始'，并
0248_堀北与伊吹交谈 | 堀北铃音与伊吹澪讨论天泽 | ai_guided_choice | 2025-08-07 | foreshadow=False | rules=False | 堀北询问伊吹对天泽实力的看法。伊吹承认天泽很强。伊吹告诉堀北关于龙园和绫小路在屋顶的事——绫小路曾只身前往屋顶压制龙园等人救出轻井泽。伊吹同意协助堀北调查天泽。
0248_私人游泳池聚会 | 绫小路小圈圈私人游泳池聚会 | ai_guided_choice | 2025-08-07 | foreshadow=False | rules=False | 佐仓爱里和长谷部波琉加穿着大胆泳装出现。爱里表示想改变自己。波琉加问绫小路对爱里是否冷淡，绫小路说爱里需要的是朋友而非恋爱。波琉加捏绫小路脸颊说'希望让小清笑的
0248_葛城与时任争执 | 葛城与时任裕也发生争执 | fixed_story | 2025-08-07 | foreshadow=False | rules=False | 时任质问葛城是否成了龙园的走狗。葛城表示会以龙园同班同学身份履行职责。日和私下邀请绫小路如果龙园退学可以来他们班。葛城告诉绫小路他已从龙园那里得知绫小路在屋顶的
0248_轻井泽与佐藤交谈 | 轻井泽惠向佐藤麻耶报告恋情 | ai_guided_choice | 2025-08-07 | foreshadow=False | rules=False | 轻井泽告诉佐藤她打算在第二学期公开与绫小路的恋情。佐藤问他们是否接吻，轻井泽承认被突袭吻过。佐藤说如果轻井泽甩了绫小路她可以接手，轻井泽内心强烈反对。
0343_third_semester_opening | 二年级第三学期开幕 | fixed_story | 2026-01-08 | foreshadow=False | rules=False | 第三学期开始，学生们讨论未来出路和双方面谈。
0344_survival_and_elimination_exam | 生存与淘汰的特别考试说明 | fixed_story | 2026-01-15 | foreshadow=True | rules=True | 茶柱老师详细说明特别考试规则：班级间攻防战、出题领域、难易度、保护制度、淘汰与退学风险。
0345_benefactor_revealed | 慰劳者的真面目 | ai_guided_choice | 2026-01-16 | foreshadow=True | rules=False | 小美和绫小路发现慰劳者是高圆寺六助，并试图向他道谢。
0346_advice | 建议 | ai_guided_choice | 2026-01-21 | foreshadow=True | rules=False | 绫小路引导堀北思考在特别考试中面对'朋友'成为对手时的觉悟，以及作为领袖的决断力。
0347_changing_the_tide | 改变形势的人 | fixed_story | 2026-01-22 | foreshadow=True | rules=False | 桥本与龙园接触，同时一之濑、神崎、渡边等人造访绫小路房间，一之濑故意留下手机制造独处机会。
0348_exam_begin | 攻防的四角形（特别考试开始） | fixed_story | 2026-01-23 | foreshadow=True | rules=True | 特别考试进行中，各班级需要选择出题领域、指名学生、进行防御和保护。
0406_终焉的日常 | 终焉的日常 | fixed_story | 2026-04-06 | foreshadow=False | rules=False | 堀北铃音在三年级开学前一天独自来到教室，回忆过去两年从D班到A班的历程，感慨绫小路清隆的帮助，决心最后一年与班级共同守护A班。
0407_绫小路转班 | 绫小路清隆转班至C班 | fixed_story | 2026-04-07 | foreshadow=False | rules=False | 开学典礼后，绫小路清隆未返回A班教室。茶柱老师宣布绫小路使用2000万个人点数转班至C班，A班全体震惊。堀北铃音陷入混乱与动摇。
0408_堀北的确认 | 堀北铃音确认转班事实 | ai_guided_choice | 2026-04-08 | foreshadow=False | rules=False | 堀北铃音与松下千秋在榉树购物中心咖啡厅找到绫小路，绫小路与桥本正义、森下蓝、一之濑帆波在一起。绫小路冷淡拒绝解释转班理由，明确表示已成为敌人。堀北受到沉重打击。
0409_一年的开始 | C班新生活与同盟成立 | ai_guided_choice | 2026-04-09 | foreshadow=False | rules=False | 绫小路在C班自我介绍，森下蓝安排其坐在自己前面。桥本提议欢迎会被拒。绫小路、桥本、森下与一之濑帆波在咖啡厅会面，正式确立C班与D班（原）的全年同盟关系。绫小路向
0410_旁观者清 | 旁观者清 | fixed_story | 2026-04-10 | foreshadow=False | rules=False | 绫小路早起观察C班，与邻座白石飞鸟初次深入交流。吉田介入。茶柱老师跟踪绫小路追问转班理由，绫小路表示是自我意志。一之濑与天泽一夏在榉树购物中心交锋，天泽试探一之
0411_交错 | 交错 | fixed_story | 2026-04-11 | foreshadow=False | rules=False | 茶柱老师公布三年级首次特别考试'全体·少数战学力综合测试'，A班对战D班。堀北铃音因绫小路转班而精神恍惚。C班内部，桥本提议由绫小路主导考试，岛崎反对，最终决定
0412_C班的校园生活 | C班的校园生活 | ai_guided_choice | 2026-04-12 | foreshadow=False | rules=False | 绫小路与吉田、白石、西川在卡拉OK聚会。西川透露白石'百人斩'传闻，并称白石对绫小路有兴趣。绫小路拒绝。自习课上，森下蓝用橡皮屑弹绫小路后脑勺恶作剧，被绫小路与
0413_特别考试_全体少数战学力测试 | 全体·少数战学力综合测试（A班 vs D班） | ai_guided_choice | 2026-04-13 | foreshadow=False | rules=True | 三年级首次特别考试。A班（堀北）对战D班（一之濑）。考试分为全体战（全班笔试）和少数战（各派5人）。惩罚点机制允许购买额外点数。绫小路主导C班策略，龙园班准备投
0422_qiluan_yi_du_ba | 七濑翼的独白与月城的委托 | fixed_story | 2024-04-22 | foreshadow=True | rules=False | 七濑翼的独白揭示了月城的阴谋和她的内心矛盾。她决定接近绫小路清隆，但最终目的是阻止他走向邪恶。
0423_shu_luo | 熟络：岛崎的商谈与白石传闻 | ai_guided_choice | 2024-04-23 | foreshadow=True | rules=False | 岛崎向绫小路请教学习方法，绫小路以‘偶然’和‘网上视频’为由搪塞。岛崎透露白石‘百人斩’传闻的真相，吉田对白石的感情被揭露。三人关系微妙。
0424_ping_jing_de_kao_shi | 平静的考试：特别考试通知与班级讨论 | ai_guided_choice | 2024-05-16 | foreshadow=True | rules=False | 特别考试通知引发班级讨论。绫小路提出‘生活态度’考试的可能性，并建议保持警惕。班级内部分歧，但最终接受绫小路的观点。
0425_liao_jie_dui_fang | 了解对方：A班讨论与学生会事件 | ai_guided_choice | 2024-05-17 | foreshadow=True | rules=False | A班学生因特别考试通知而焦虑，堀北铃音试图安抚。高圆寺六助拒绝合作，堀北铃音与高圆寺发生冲突。学生会处理一年级打架事件，堀北铃音发现疑点。
0426_zhi_shi_de_tan_qiu | 知识的探求：C班讨论与白石的神秘 | ai_guided_choice | 2024-05-18 | foreshadow=True | rules=False | 绫小路与桥本、森下、白石在咖啡馆讨论特别考试。绫小路透露考试规则可能是‘生活态度’，并建议不执着于胜败。白石的神秘行为引起绫小路的注意。
0427_shan_cun_de_yong_qi | 山村的勇气：山村请求与龙园会议 | ai_guided_choice | 2024-05-20 | foreshadow=True | rules=False | 山村美纪鼓起勇气向绫小路请求为班级出力，绫小路委托她调查白石飞鸟。桥本正义出现，与森下发生冲突。龙园召集金田、椎名、石崎、葛城、时任开会讨论特别考试。
0428_huo_xi_fu_yi_fu_huo_xi_fu | 祸兮福所倚，福兮祸所伏（第1/2部分） | fixed_story | 2024-05-21 | foreshadow=True | rules=False | 特别考试进入第四天，C班学生开始适应‘生活态度’考试。绫小路与长谷部交谈，了解佐仓爱里的近况。龙园会议后，椎名日和内心矛盾。
1st_yr_uninhabited_island_exam | 无人岛特别考试 | ai_guided_choice | 2024-08-01 | foreshadow=True | rules=True | 无人岛特别考试进行中。D班面临内部分裂、间谍渗透和领导权危机。绫小路清隆暗中操控全局，利用堀北铃音作为棋子，最终使D班获得第一名225点。
2024_04_29_exam_result_announcement | 特别考试结果公布 | fixed_story | 2024-04-29 | foreshadow=True | rules=False | 考试结果公布：一之濑班第一（+50点），堀北班与龙园班并列第二（各+10点），绫小路班垫底（-25点）。班级点数更新：堀北班1240，龙园班1081，绫小路班8
2024_04_29_gym_plan_with_ichinose | 与一之濑帆波讨论健身房计划 | ai_guided_choice | 2024-04-29 | foreshadow=True | rules=False | 绫小路清隆与一之濑帆波讨论邀请神崎、姬野和渡边加入健身房。一之濑看透意图但支持。两人关系停留在‘友人’层面，绫小路清隆意识到自己对日和而非一之濑有恋爱感情。
2024_04_29_library_reunion_with_hirata | 与椎名日和图书馆重逢 | ai_guided_choice | 2024-04-29 | foreshadow=True | rules=False | 绫小路清隆与椎名日和和解。日和透露她曾担心被疏远。绫小路清隆意识到自己对日和怀有特殊感情，可能为‘初恋’。桥本随后警告他不要与日和过于亲近，以免影响班级策略。
2024_04_29_secret_meeting_shiraishi_nanase | 白石飞鸟与七濑翼的秘密会面 | silent_fixed | 2024-04-29 | foreshadow=True | rules=False | 白石飞鸟拒绝七濑翼的请求。七濑提及月城，并警告若她先退学，事情会向白银老师不希望的方向发展。白石离开。
2024_04_30_horikita_investigation_ayanokouji | 堀北铃音调查绫小路清隆的过去 | ai_guided_choice | 2024-04-30 | foreshadow=True | rules=False | 堀北铃音被石上京叫走，后者透露七濑翼可能知晓绫小路的过去。石上要求匿名。堀北决定调查七濑。
2024_05_weekly_life_attitude_exam | 生活态度特别考试 | silent_fixed | 2024-04-22 | foreshadow=True | rules=True | 考试进行中。学生需维持良好的生活态度。绫小路清隆的班级因六角和矢野的缺席（因被感冒店员喷嚏溅到）而受到影响。
3rd_year_first_special_exam | 三年级首次特别考试 | fixed_story | 2026-04-14 | foreshadow=True | rules=True | 特别考试进行中。C班对D班，A班对B班。考试包括全体战和少数战。少数战中学生可被赋予惩罚点数，扣除考试成绩。
D班_vs_B班_排球赛 | D班与B班泳池排球对抗赛 | fixed_story | 2024-08-31 | foreshadow=False | rules=False | 排球比赛中，须藤展现出压倒性的运动能力，几乎一人支撑D班。绫小路故意隐藏实力。D班最终以2-0获胜。
a_band_raid_by_kiyotaka_evening | 绫小路单骑劫营A班 | ai_guided_choice | 2024-04-03 | foreshadow=False | rules=False | 绫小路清隆在下午5点57分突袭A班营地，淘汰3人，并利用规则使4名A班学生在考试时间外开枪而被淘汰。
a_band_vip_elimination | A班VIP全灭 | fixed_story | 2024-04-04 | foreshadow=False | rules=False | A班的三名VIP（王美雨、佐藤麻耶、幸村辉彦）被淘汰，A班全员出局。
a_band_vip_exposure | A班VIP身份暴露 | silent_fixed | 2024-04-04 | foreshadow=False | rules=False | 绫小路清隆通过前一天的突袭，确认了A班的VIP身份（王美雨、佐藤麻耶、幸村辉彦），并将情报传递给B班。
a_class_decision_katsuragi_sacrifice | A班决定让葛城退学 | fixed_story | 2025-03-01 | foreshadow=False | rules=False | 坂柳在考试说明后立即提议让葛城退学，全班投票通过（除户冢外）。葛城接受。
a_class_result_totsuka_expelled | A班结果：户冢弥彦退学 | fixed_story | 2025-03-02 | foreshadow=False | rules=False | A班结果公布：户冢弥彦获得36张批评票，被退学。葛城获得30张批评票。坂柳获得36张赞美票。
acquiring_past_exams | 获取考古题 | ai_guided_choice | 2024-05-13 | foreshadow=False | rules=False | 绫小路成功获得考古题，并确认题目与小考真题一致。他决定将考古题作为保险手段，在考前最后一天才公布。
airi_christmas_gift | 佐仓爱里的圣诞礼物 | fixed_story | 2024-12-24 | foreshadow=True | rules=False | 佐仓爱里的礼物和拜访，进一步加深了她与绫小路清隆之间的羁绊。绫小路需要考虑如何回应这份心意。
all_students_return | 全班学生回归 | fixed_story | 2024-09-25 | foreshadow=True | rules=False | 栉田回校并发表声明，班级所有学生回归。茶柱老师表示期待体育祭的表现。
asahina_encounter_day7 | 与朝比奈荠的接触（第七天） | ai_guided_choice | 2025-02-12 | foreshadow=True | rules=False | 绫小路通过护身符话题与朝比奈搭话，朝比奈透露二年级女生小组可能被南云操控，但认为与堀北学的对决无关。
attempt_to_befriend_horikita | 栉田与绫小路尝试接近堀北 | ai_guided_choice | 2024-04-10 | foreshadow=False | rules=False | 栉田请求绫小路协助，在咖啡厅帕雷特安排与堀北的‘偶遇’。堀北识破计谋，明确拒绝交友，但透露自己从懂事以来一直独处。绫小路讲述自己过去没有朋友的经历。
